Source:,F:\msys64\home\f14eagle\gitrepo\redox-keyboard-f14\redox-f14\pcb\wingxx_receiver_kicad_files_v2\wingxx-receiver.sch,,,,,,,,,,,,,,
Date:,2020/1/7 21:45,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.2)-2,,,,,,,,,,,,,,
Generator:,F:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,
Component Count:,78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,MPN,Manufacturer,Status
,,C1,22pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C2,22pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C3,1uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C4,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C5,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C6,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C7,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C11,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,C12,10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,ConnFemale_Underglow1,Conn_01x03_Female,Connector:Conn_01x03_Female,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,,,
,,D1,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D2,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D3,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D4,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D5,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D6,PRTR5V0U2X,Power_Protection:PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,,,,,,,,,
,,D11,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D12,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D13,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D14,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D15,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D21,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D22,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D23,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D24,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D25,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D31,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D32,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D33,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D34,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D35,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D41,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D42,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D43,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D44,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,D45,D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
,,F1,MF-NSMF050-2,Device:Fuse,Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,,,,,,,,,
,,K1,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K2,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K3,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K4,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K5,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K11,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K12,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K13,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K14,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K15,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K21,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K22,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K23,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K24,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K25,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K31,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K32,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K33,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K34,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K35,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K41,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K42,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K43,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K44,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,K45,KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
,,PROGR_HEADER1,Conn_01x04_Female,redox-receiver-rescue:Conn_01x04-Connector_Generic,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,,,
,,R1,5.1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R2,5.1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R3,22,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R4,22,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R5,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R6,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R11,1.5K,redox-receiver-rescue:R-Device,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R12,1.5K,redox-receiver-rescue:R-Device,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,R13,1.5K,redox-receiver-rescue:R-Device,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
,,RESET1,SW_SPST,redox-receiver-rescue:SW_SPST-Switch,wingxx-receiver:ResetSW,,,,,,,,,,
,,U1,ATmega32U4-AU,MCU_Microchip_ATmega:ATmega32U4-AU,Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf,,,,,,,,,
,,USB1,HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12-HandSoldering,,,,,,,,,,
,,V_REG1,LD1117S33CTR,redox-receiver-rescue:LD1117S33CTR-dk_PMIC-Voltage-Regulators-Linear,redox_w_receiver_footprints:SOT-223,http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,Integrated Circuits (ICs),http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,/product-detail/en/stmicroelectronics/LD1117S33CTR/497-1241-1-ND/586241,IC REG LINEAR 3.3V 800MA SOT223,497-1241-1-ND,PMIC - Voltage Regulators - Linear,LD1117S33CTR,STMicroelectronics,Active
,,X1,Crystal_GND24,Device:Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,~,,,,,,,,,
,,uC1,YJ-14015,redox-receiver-rescue:Core51822B-core51822b,redox_w_receiver_footprints:MY-YJ-14015-Module,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Category,DK_Datasheet_Link,DK_Detail_Page,Description,Digi-Key_PN,Family,MPN,Manufacturer,Status
1,2,"C1, C2",22pF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
2,1,C3,1uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
3,3,"C4, C5, C6",100nF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
4,3,"C7, C11, C12",10uF,Device:C,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
5,1,ConnFemale_Underglow1,Conn_01x03_Female,Connector:Conn_01x03_Female,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,,,
6,25,"D1, D2, D3, D4, D5, D11, D12, D13, D14, D15, D21, D22, D23, D24, D25, D31, D32, D33, D34, D35, D41, D42, D43, D44, D45",D,redox_rev1-rescue:D-redox_rev1-rescue,pcb:D3_SMD,,,,,,,,,,
7,1,D6,PRTR5V0U2X,Power_Protection:PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,,,,,,,,,
8,1,F1,MF-NSMF050-2,Device:Fuse,Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,,,,,,,,,
9,25,"K1, K2, K3, K4, K5, K11, K12, K13, K14, K15, K21, K22, K23, K24, K25, K31, K32, K33, K34, K35, K41, K42, K43, K44, K45",KEYSW-redox_rev1-rescue,redox_rev1-rescue:KEYSW-redox_rev1-rescue,keyswitches:Kailh_socket,,,,,,,,,,
10,1,PROGR_HEADER1,Conn_01x04_Female,redox-receiver-rescue:Conn_01x04-Connector_Generic,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,,,,,,,,
11,2,"R1, R2",5.1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
12,2,"R3, R4",22,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
13,1,R5,10K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
14,1,R6,1K,Device:R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
15,3,"R11, R12, R13",1.5K,redox-receiver-rescue:R-Device,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,,,,,,,,
16,1,RESET1,SW_SPST,redox-receiver-rescue:SW_SPST-Switch,wingxx-receiver:ResetSW,,,,,,,,,,
17,1,U1,ATmega32U4-AU,MCU_Microchip_ATmega:ATmega32U4-AU,Package_QFP:TQFP-44_10x10mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf,,,,,,,,,
18,1,USB1,HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12,Type-C:HRO-TYPE-C-31-M-12-HandSoldering,,,,,,,,,,
19,1,V_REG1,LD1117S33CTR,redox-receiver-rescue:LD1117S33CTR-dk_PMIC-Voltage-Regulators-Linear,redox_w_receiver_footprints:SOT-223,http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,Integrated Circuits (ICs),http://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf,/product-detail/en/stmicroelectronics/LD1117S33CTR/497-1241-1-ND/586241,IC REG LINEAR 3.3V 800MA SOT223,497-1241-1-ND,PMIC - Voltage Regulators - Linear,LD1117S33CTR,STMicroelectronics,Active
20,1,X1,Crystal_GND24,Device:Crystal_GND24,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,~,,,,,,,,,
21,1,uC1,YJ-14015,redox-receiver-rescue:Core51822B-core51822b,redox_w_receiver_footprints:MY-YJ-14015-Module,,,,,,,,,,
